ip,datetime,method,url,size,year,month,day,hour,status_200,status_404,status_500,ip_encoded,about,contact,delete,get,html,index,login,post
251.144.125.201,2020-04-04 07:18:02,DELETE,/index.html,1846,2020,4,4,7,False,False,True,251144125201,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
134.152.98.145,2024-02-03 01:11:12,DELETE,/contact.html,1367,2024,2,3,1,False,True,False,134152098145,0.0,0.700664575788991,0.6062982639893856,0.0,0.3761270627299911,0.0,0.0,0.0
207.5.81.249,2022-01-08 14:33:11,GET,/contact.html,3874,2022,1,8,14,False,True,False,207005081249,0.0,0.6924750674202508,0.0,0.6182996707901875,0.3717308140335755,0.0,0.0,0.0
200.174.75.167,2023-05-16 05:58:26,POST,/contact.html,3356,2023,5,16,5,True,False,False,200174075167,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
39.194.164.170,2024-05-24 10:58:19,POST,/index.html,3095,2024,5,24,10,False,False,True,39194164170,0.0,0.0,0.0,0.0,0.3747640830594092,0.6934942615875391,0.0,0.6153190970494855
226.91.114.233,2020-10-03 16:02:45,GET,/about.html,2365,2020,10,3,16,False,False,True,226091114233,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
95.28.106.154,2023-06-20 13:44:59,DELETE,/login,4788,2023,6,20,13,False,False,True,95028106154,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
46.164.104.235,2023-06-24 14:23:40,POST,/contact.html,3566,2023,6,24,14,False,True,False,46164104235,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
184.146.62.232,2021-07-27 22:17:43,GET,/login,3238,2021,7,27,22,False,False,True,184146062232,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
202.101.202.146,2022-01-05 20:34:53,POST,/about.html,4486,2022,1,5,20,False,False,True,202101202146,0.6946886173766375,0.0,0.0,0.0,0.3741650741960277,0.0,0.0,0.6143355940682723
184.121.202.11,2021-11-27 04:50:28,GET,/contact.html,2015,2021,11,27,4,False,True,False,184121202011,0.0,0.6924750674202508,0.0,0.6182996707901875,0.3717308140335755,0.0,0.0,0.0
190.146.15.201,2024-08-24 15:53:15,GET,/index.html,2118,2024,8,24,15,False,False,True,190146015201,0.0,0.0,0.0,0.6202693944147694,0.3729150407135787,0.6900726416558806,0.0,0.0
143.155.138.249,2024-09-19 07:39:29,GET,/index.html,1251,2024,9,19,7,True,False,False,143155138249,0.0,0.0,0.0,0.6202693944147694,0.3729150407135787,0.6900726416558806,0.0,0.0
196.30.226.25,2020-02-02 02:06:34,GET,/contact.html,1377,2020,2,2,2,False,False,True,196030226025,0.0,0.6924750674202508,0.0,0.6182996707901875,0.3717308140335755,0.0,0.0,0.0
0.185.48.25,2020-09-12 11:07:01,POST,/login,3773,2020,9,12,11,False,False,True,185048025,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
139.250.105.167,2022-12-31 07:15:21,GET,/about.html,2967,2022,12,31,7,False,False,True,139250105167,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
151.87.162.156,2024-10-18 07:52:05,DELETE,/index.html,3461,2024,10,18,7,False,False,True,151087162156,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
136.163.97.153,2021-04-27 14:32:47,POST,/about.html,1046,2021,4,27,14,True,False,False,136163097153,0.6946886173766375,0.0,0.0,0.0,0.3741650741960277,0.0,0.0,0.6143355940682723
192.106.169.34,2022-11-28 09:35:58,DELETE,/contact.html,4498,2022,11,28,9,True,False,False,192106169034,0.0,0.700664575788991,0.6062982639893856,0.0,0.3761270627299911,0.0,0.0,0.0
247.70.112.163,2022-09-30 15:38:56,DELETE,/about.html,4310,2022,9,30,15,False,True,False,247070112163,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
149.225.154.23,2020-05-11 21:18:55,GET,/index.html,1730,2020,5,11,21,False,True,False,149225154023,0.0,0.0,0.0,0.6202693944147694,0.3729150407135787,0.6900726416558806,0.0,0.0
77.148.129.217,2023-03-11 10:35:11,DELETE,/about.html,3789,2023,3,11,10,False,True,False,77148129217,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
54.58.1.158,2022-12-08 11:31:31,DELETE,/index.html,1472,2022,12,8,11,False,True,False,54058001158,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
88.0.206.202,2023-06-06 00:31:43,GET,/about.html,3717,2023,6,6,0,True,False,False,88000206202,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
18.16.141.61,2023-08-09 16:58:03,DELETE,/about.html,2944,2023,8,9,16,False,False,True,18016141061,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
81.84.14.213,2023-09-15 14:41:42,GET,/about.html,4324,2023,9,15,14,False,True,False,81084014213,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
74.201.121.6,2020-05-06 17:57:55,POST,/login,4584,2020,5,6,17,False,False,True,74201121006,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
253.44.154.199,2024-07-08 20:38:51,POST,/index.html,4725,2024,7,8,20,False,False,True,253044154199,0.0,0.0,0.0,0.0,0.3747640830594092,0.6934942615875391,0.0,0.6153190970494855
8.76.118.89,2022-09-21 12:14:32,DELETE,/contact.html,4965,2022,9,21,12,False,False,True,8076118089,0.0,0.700664575788991,0.6062982639893856,0.0,0.3761270627299911,0.0,0.0,0.0
170.54.102.6,2024-08-21 13:36:59,POST,/index.html,3018,2024,8,21,13,False,True,False,170054102006,0.0,0.0,0.0,0.0,0.3747640830594092,0.6934942615875391,0.0,0.6153190970494855
62.197.250.206,2023-04-11 10:50:31,DELETE,/login,1600,2023,4,11,10,False,False,True,62197250206,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
108.123.164.102,2022-05-12 15:16:02,GET,/login,4322,2022,5,12,15,False,True,False,108123164102,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
24.16.50.84,2022-10-23 21:47:34,DELETE,/index.html,2808,2022,10,23,21,False,True,False,24016050084,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
41.50.64.235,2021-08-20 09:57:25,GET,/index.html,4026,2021,8,20,9,False,True,False,41050064235,0.0,0.0,0.0,0.6202693944147694,0.3729150407135787,0.6900726416558806,0.0,0.0
189.21.191.228,2023-06-21 03:04:28,DELETE,/about.html,2839,2023,6,21,3,True,False,False,189021191228,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
169.153.33.218,2023-03-20 09:16:44,DELETE,/about.html,3492,2023,3,20,9,True,False,False,169153033218,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
253.227.28.6,2024-05-25 02:11:21,GET,/index.html,1447,2024,5,25,2,False,False,True,253227028006,0.0,0.0,0.0,0.6202693944147694,0.3729150407135787,0.6900726416558806,0.0,0.0
31.115.23.150,2020-05-07 05:36:47,GET,/contact.html,4432,2020,5,7,5,False,False,True,31115023150,0.0,0.6924750674202508,0.0,0.6182996707901875,0.3717308140335755,0.0,0.0,0.0
245.39.221.165,2023-09-07 17:14:43,POST,/index.html,4159,2023,9,7,17,True,False,False,245039221165,0.0,0.0,0.0,0.0,0.3747640830594092,0.6934942615875391,0.0,0.6153190970494855
83.164.38.211,2020-02-10 17:03:35,GET,/login,2443,2020,2,10,17,True,False,False,83164038211,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
40.212.70.118,2021-10-25 04:19:44,DELETE,/index.html,3693,2021,10,25,4,False,False,True,40212070118,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
81.71.142.213,2021-12-21 09:19:31,POST,/login,2703,2021,12,21,9,True,False,False,81071142213,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
192.221.66.184,2023-08-17 18:11:29,POST,/contact.html,4196,2023,8,17,18,False,False,True,192221066184,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
157.107.197.12,2024-02-11 13:41:27,POST,/index.html,3617,2024,2,11,13,False,True,False,157107197012,0.0,0.0,0.0,0.0,0.3747640830594092,0.6934942615875391,0.0,0.6153190970494855
15.102.41.189,2020-01-29 23:14:05,DELETE,/index.html,3416,2020,1,29,23,True,False,False,15102041189,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
52.74.4.187,2021-01-26 18:17:17,GET,/about.html,4838,2021,1,26,18,False,False,True,52074004187,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
250.62.187.155,2023-02-24 15:51:09,GET,/about.html,3403,2023,2,24,15,False,False,True,250062187155,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
95.215.224.87,2021-10-06 08:28:34,DELETE,/index.html,4229,2021,10,6,8,True,False,False,95215224087,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
112.184.75.32,2024-12-12 10:57:50,DELETE,/about.html,2638,2024,12,12,10,True,False,False,112184075032,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
90.176.247.151,2020-06-21 14:50:14,GET,/index.html,2530,2020,6,21,14,False,True,False,90176247151,0.0,0.0,0.0,0.6202693944147694,0.3729150407135787,0.6900726416558806,0.0,0.0
209.167.12.218,2023-11-23 02:05:12,GET,/contact.html,1210,2023,11,23,2,True,False,False,209167012218,0.0,0.6924750674202508,0.0,0.6182996707901875,0.3717308140335755,0.0,0.0,0.0
249.88.169.169,2021-10-05 03:20:34,DELETE,/login,3572,2021,10,5,3,False,True,False,249088169169,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
126.77.174.238,2022-08-17 09:57:57,POST,/index.html,4712,2022,8,17,9,True,False,False,126077174238,0.0,0.0,0.0,0.0,0.3747640830594092,0.6934942615875391,0.0,0.6153190970494855
44.133.118.37,2024-03-10 08:21:05,DELETE,/login,4880,2024,3,10,8,True,False,False,44133118037,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
11.74.116.67,2021-05-21 19:18:31,DELETE,/index.html,2659,2021,5,21,19,False,False,True,11074116067,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
182.212.199.219,2021-10-07 01:44:09,POST,/contact.html,3119,2021,10,7,1,True,False,False,182212199219,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
170.31.7.89,2021-06-28 00:25:14,GET,/about.html,3224,2021,6,28,0,True,False,False,170031007089,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
6.37.129.130,2022-02-19 02:46:18,GET,/contact.html,2716,2022,2,19,2,False,False,True,6037129130,0.0,0.6924750674202508,0.0,0.6182996707901875,0.3717308140335755,0.0,0.0,0.0
231.215.127.53,2024-03-29 22:00:21,POST,/contact.html,3487,2024,3,29,22,False,True,False,231215127053,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
178.73.52.137,2023-02-14 10:11:11,DELETE,/contact.html,4695,2023,2,14,10,False,True,False,178073052137,0.0,0.700664575788991,0.6062982639893856,0.0,0.3761270627299911,0.0,0.0,0.0
199.238.225.56,2020-06-17 01:59:49,POST,/about.html,1612,2020,6,17,1,False,True,False,199238225056,0.6946886173766375,0.0,0.0,0.0,0.3741650741960277,0.0,0.0,0.6143355940682723
187.47.53.228,2020-02-04 05:47:19,GET,/login,3834,2020,2,4,5,False,False,True,187047053228,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
37.145.32.108,2021-05-25 13:46:21,GET,/login,1659,2021,5,25,13,False,False,True,37145032108,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
210.230.50.118,2022-01-21 09:11:30,DELETE,/contact.html,2582,2022,1,21,9,True,False,False,210230050118,0.0,0.700664575788991,0.6062982639893856,0.0,0.3761270627299911,0.0,0.0,0.0
222.243.35.58,2021-06-04 21:32:48,POST,/contact.html,1907,2021,6,4,21,False,False,True,222243035058,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
204.159.110.101,2020-04-30 00:34:05,DELETE,/index.html,1837,2020,4,30,0,False,True,False,204159110101,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
226.41.58.167,2022-03-18 00:52:08,GET,/about.html,2422,2022,3,18,0,False,True,False,226041058167,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
247.6.31.99,2022-02-03 15:57:10,DELETE,/contact.html,2670,2022,2,3,15,False,True,False,247006031099,0.0,0.700664575788991,0.6062982639893856,0.0,0.3761270627299911,0.0,0.0,0.0
181.9.66.166,2020-04-29 06:44:08,POST,/contact.html,4840,2020,4,29,6,False,True,False,181009066166,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
54.123.210.136,2023-06-30 16:20:17,POST,/login,3195,2023,6,30,16,False,False,True,54123210136,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
236.138.170.184,2022-07-16 07:00:57,POST,/index.html,1535,2022,7,16,7,False,False,True,236138170184,0.0,0.0,0.0,0.0,0.3747640830594092,0.6934942615875391,0.0,0.6153190970494855
127.180.202.217,2023-08-20 09:08:52,POST,/index.html,4338,2023,8,20,9,False,True,False,127180202217,0.0,0.0,0.0,0.0,0.3747640830594092,0.6934942615875391,0.0,0.6153190970494855
112.127.172.131,2021-03-05 00:34:46,POST,/index.html,4548,2021,3,5,0,False,False,True,112127172131,0.0,0.0,0.0,0.0,0.3747640830594092,0.6934942615875391,0.0,0.6153190970494855
40.161.186.23,2024-01-25 00:10:41,POST,/contact.html,2107,2024,1,25,0,False,False,True,40161186023,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
122.56.252.42,2020-05-16 06:10:22,GET,/contact.html,1748,2020,5,16,6,False,True,False,122056252042,0.0,0.6924750674202508,0.0,0.6182996707901875,0.3717308140335755,0.0,0.0,0.0
233.106.30.192,2020-08-05 06:08:19,POST,/about.html,2383,2020,8,5,6,False,False,True,233106030192,0.6946886173766375,0.0,0.0,0.0,0.3741650741960277,0.0,0.0,0.6143355940682723
127.24.243.186,2021-06-21 10:07:25,POST,/contact.html,2859,2021,6,21,10,True,False,False,127024243186,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
124.63.101.113,2020-03-29 00:05:53,DELETE,/login,1569,2020,3,29,0,False,False,True,124063101113,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
198.230.126.195,2024-02-28 15:30:32,DELETE,/login,2248,2024,2,28,15,False,False,True,198230126195,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
242.192.113.100,2023-08-22 03:18:09,POST,/about.html,4148,2023,8,22,3,True,False,False,242192113100,0.6946886173766375,0.0,0.0,0.0,0.3741650741960277,0.0,0.0,0.6143355940682723
22.127.106.153,2023-06-16 13:53:12,DELETE,/index.html,3811,2023,6,16,13,False,False,True,22127106153,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
253.19.121.168,2024-02-27 03:34:38,DELETE,/login,1259,2024,2,27,3,False,True,False,253019121168,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
3.139.74.180,2023-04-06 11:23:51,GET,/index.html,2750,2023,4,6,11,True,False,False,3139074180,0.0,0.0,0.0,0.6202693944147694,0.3729150407135787,0.6900726416558806,0.0,0.0
228.171.51.48,2024-07-11 02:44:55,GET,/login,3278,2024,7,11,2,False,False,True,228171051048,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
46.53.241.143,2024-10-07 18:46:00,POST,/about.html,2930,2024,10,7,18,False,True,False,46053241143,0.6946886173766375,0.0,0.0,0.0,0.3741650741960277,0.0,0.0,0.6143355940682723
131.211.223.184,2023-01-10 15:11:25,DELETE,/about.html,2602,2023,1,10,15,False,False,True,131211223184,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
177.44.97.41,2023-10-01 04:46:19,POST,/login,4516,2023,10,1,4,False,True,False,177044097041,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
156.79.103.172,2022-04-04 02:38:30,GET,/index.html,2328,2022,4,4,2,True,False,False,156079103172,0.0,0.0,0.0,0.6202693944147694,0.3729150407135787,0.6900726416558806,0.0,0.0
90.243.196.217,2023-03-24 07:12:09,DELETE,/index.html,3937,2023,3,24,7,True,False,False,90243196217,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
172.51.184.77,2024-06-05 05:32:10,DELETE,/login,1622,2024,6,5,5,False,False,True,172051184077,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
54.148.232.109,2021-10-26 19:28:12,GET,/contact.html,3612,2021,10,26,19,True,False,False,54148232109,0.0,0.6924750674202508,0.0,0.6182996707901875,0.3717308140335755,0.0,0.0,0.0
45.171.103.135,2023-07-22 00:03:29,POST,/login,2111,2023,7,22,0,False,True,False,45171103135,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
50.163.60.195,2022-01-21 14:19:11,GET,/login,4651,2022,1,21,14,False,False,True,50163060195,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
126.150.131.122,2022-02-01 09:18:52,POST,/login,2665,2022,2,1,9,True,False,False,126150131122,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
20.25.172.209,2024-01-11 10:45:14,POST,/about.html,2603,2024,1,11,10,False,True,False,20025172209,0.6946886173766375,0.0,0.0,0.0,0.3741650741960277,0.0,0.0,0.6143355940682723
251.97.47.89,2020-03-10 04:29:18,DELETE,/index.html,2947,2020,3,10,4,True,False,False,251097047089,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
38.58.154.113,2020-04-13 19:24:03,GET,/index.html,1914,2020,4,13,19,True,False,False,38058154113,0.0,0.0,0.0,0.6202693944147694,0.3729150407135787,0.6900726416558806,0.0,0.0
117.230.76.199,2023-02-03 07:43:42,DELETE,/login,2065,2023,2,3,7,False,False,True,117230076199,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
3.29.231.96,2020-11-27 14:24:22,GET,/about.html,3600,2020,11,27,14,False,True,False,3029231096,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
248.133.191.151,2022-11-23 06:31:26,DELETE,/about.html,2744,2022,11,23,6,False,False,True,248133191151,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
218.5.28.39,2023-07-20 16:09:25,POST,/login,2839,2023,7,20,16,False,False,True,218005028039,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
17.119.35.158,2023-12-26 18:32:49,DELETE,/about.html,1576,2023,12,26,18,False,True,False,17119035158,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
209.134.159.144,2020-05-29 15:24:46,GET,/about.html,3592,2020,5,29,15,False,False,True,209134159144,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
94.90.79.9,2023-02-22 02:32:22,DELETE,/contact.html,3498,2023,2,22,2,False,False,True,94090079009,0.0,0.700664575788991,0.6062982639893856,0.0,0.3761270627299911,0.0,0.0,0.0
71.0.216.214,2020-12-04 12:54:40,POST,/login,1717,2020,12,4,12,False,False,True,71000216214,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
201.255.129.138,2023-11-14 08:56:55,POST,/login,2108,2023,11,14,8,False,False,True,201255129138,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
114.86.183.3,2023-06-09 22:25:42,GET,/login,2496,2023,6,9,22,False,False,True,114086183003,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
243.138.173.104,2024-06-14 10:28:02,POST,/login,2377,2024,6,14,10,False,False,True,243138173104,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
